name,category,price,description,author,isbn,duration,badges,variations,quantity,is_available,is_featured,image_url
Chicken Stew,Stew,1850.00,"Rich and aromatic chicken stew slow-cooked with fresh local spices, carrots, and potatoes.",,,,Popular,Small: 1850 | Large: 2050,,TRUE,TRUE,
Fish Stew,Stew,1850.00,Tender fish fillet simmered in savory seasoned broth with vegetables and herbs.,,,,Seafood,Small: 1850 | Large: 2050,,TRUE,FALSE,
Pork Stew,Stew,2050.00,Succulent pork cuts simmered to perfection in a thick flavorful spiced sauce.,,,,Chef Special,Small: 2050 | Large: 2250,,TRUE,FALSE,
Beef Stew,Stew,2250.00,"Tender chunks of beef slowly simmered with fresh herbs, potatoes, and black pepper gravy.",,,,Popular,Small: 2250 | Large: 2650,,TRUE,FALSE,
Vegetable Chopsey Rice (Keeri Samba),Chopsey Rice - Keeri Samba,1450.00,Aromatic Keeri Samba rice served with crisp stir-fried garden vegetables in Chinese chopsey sauce.,,,,Vegetarian,,,TRUE,FALSE,
Chicken Chopsey Rice (Keeri Samba),Chopsey Rice - Keeri Samba,1800.00,Seasoned tender chicken bites and wok-tossed vegetables served over steaming Keeri Samba rice.,,,,Popular,,,TRUE,TRUE,
Mixed Chopsey Rice (Keeri Samba),Chopsey Rice - Keeri Samba,1900.00,"Combination of chicken, seafood, and egg with crispy vegetables over fragrant Keeri Samba rice.",,,,Chef Special,,,TRUE,FALSE,
Seafood Chopsey Rice (Keeri Samba),Chopsey Rice - Keeri Samba,2000.00,"Fresh prawns, cuttlefish, and fish in a luscious chopsey gravy served over Keeri Samba rice.",,,,Seafood,,,TRUE,FALSE,
Vegetable Chopsey Rice (Basmathi),Chopsey Rice - Basmathi,1850.00,Premium long-grain Basmathi rice paired with wok-glazed crisp vegetables in savory sauce.,,,,Vegetarian,,,TRUE,FALSE,
Chicken Chopsey Rice (Basmathi),Chopsey Rice - Basmathi,2150.00,Premium Basmathi rice served with succulent chicken and fresh crunchy vegetables in chopsey gravy.,,,,Popular,,,TRUE,TRUE,
Mixed Chopsey Rice (Basmathi),Chopsey Rice - Basmathi,2250.00,"Deluxe mix of chicken, seafood, and assorted greens served over fragrant Basmathi rice.",,,,Chef Special,,,TRUE,FALSE,
Seafood Chopsey Rice (Basmathi),Chopsey Rice - Basmathi,2350.00,Loaded with jumbo prawns and tender calamari in rich chopsey gravy over fluffy Basmathi rice.,,,,Seafood,,,TRUE,FALSE,
Vegetable Kottu,Kottu,650.00,Shredded godamba rotti or string hoppers chopped with farm-fresh vegetables and mild spices.,,,,Vegetarian,Small: 650 | Large: 800,,TRUE,FALSE,
Egg Kottu,Kottu,750.00,"Classic street-style chopped rotti mixed with farm eggs, leeks, onions, and flavorful gravy.",,,,Popular,Small: 750 | Large: 900,,TRUE,FALSE,
Chicken Kottu,Kottu,800.00,"Signature Sri Lankan chopped rotti wok-tossed with marinated chicken, eggs, and rich curry.",,,,Best Seller,Small: 800 | Large: 1000,,TRUE,TRUE,
